tick,nadh,alfasinucleina,ros,artificialAgent,electron,oxygen
1,500,0,0,10,0,400
2,500,0,0,10,0,400
3,500,0,0,10,0,400
4,500,0,0,10,0,400
5,500,0,0,10,0,400
6,500,0,0,10,0,400
7,500,0,0,10,0,400
8,500,0,0,10,0,400
9,500,0,0,10,0,400
10,500,0,0,10,0,400
11,500,0,0,10,0,400
12,500,0,0,10,0,400
13,500,0,0,10,0,400
14,500,0,0,10,0,400
15,500,0,0,10,0,400
16,500,0,0,10,0,400
17,500,0,0,10,0,400
18,500,0,0,10,0,400
19,500,0,0,10,0,400
20,500,0,0,10,0,400
21,500,0,0,10,0,400
22,500,0,0,10,0,400
23,500,0,0,10,0,400
24,500,0,0,10,0,400
25,500,0,0,10,0,400
26,500,0,0,10,0,400
27,500,0,0,10,0,400
28,500,0,0,10,0,400
29,500,0,0,10,0,400
30,500,0,0,10,0,400
31,500,0,0,10,0,400
32,500,0,0,10,0,400
33,500,0,0,10,0,400
34,500,0,0,10,0,400
35,500,0,0,10,0,400
36,500,0,0,10,0,400
37,500,0,0,10,0,400
38,500,0,0,10,0,400
39,500,0,0,10,0,400
40,500,0,0,10,0,400
41,500,0,0,10,0,400
42,500,0,0,10,0,400
43,500,0,0,10,0,400
44,500,0,0,10,0,400
45,500,0,0,10,0,400
46,500,0,0,10,0,400
47,500,0,0,10,0,400
48,500,0,0,10,0,400
49,500,0,0,10,0,400
50,500,0,0,10,0,400
51,500,0,0,10,0,400
52,500,0,0,10,0,400
53,500,0,0,10,0,400
54,500,0,0,10,0,400
55,500,0,0,10,0,400
56,500,0,0,10,0,400
57,500,0,0,10,0,400
58,500,0,0,10,0,400
59,500,0,0,10,0,400
60,500,0,0,10,0,400
61,500,0,0,10,0,400
62,500,0,0,10,0,400
63,500,0,0,10,0,400
64,500,0,0,10,0,400
65,500,0,0,10,0,400
66,500,0,0,10,0,400
67,500,0,0,10,0,400
68,500,0,0,10,0,400
69,500,0,0,10,0,400
70,500,0,0,10,0,400
71,500,0,0,10,0,400
72,500,0,0,10,0,400
73,500,0,0,10,0,400
74,500,0,0,10,0,400
75,500,0,0,10,0,400
76,500,0,0,10,0,400
77,500,0,0,10,0,400
78,500,0,0,10,0,400
79,500,0,0,10,0,400
80,500,0,0,10,0,400
81,500,0,0,10,0,400
82,500,0,0,10,0,400
83,500,0,0,10,0,400
84,500,0,0,10,0,400
85,500,0,0,10,0,400
86,500,0,0,10,0,400
87,500,0,0,10,0,400
88,500,0,0,10,0,400
89,500,0,0,10,0,400
90,500,0,0,10,0,400
91,500,0,0,10,0,400
92,500,0,0,10,0,400
93,500,0,0,10,0,400
94,500,0,0,10,0,400
95,500,0,0,10,0,400
96,500,0,0,10,0,400
97,500,0,0,10,0,400
98,500,0,0,10,0,400
99,500,0,0,10,0,400
100,500,0,0,10,0,400
101,500,0,0,10,0,400
102,500,0,0,10,0,400
103,500,0,0,10,0,400
104,500,0,0,10,0,400
105,500,0,0,10,0,400
106,500,0,0,10,0,400
107,500,0,0,10,0,400
108,500,0,0,10,0,400
109,500,0,0,10,0,400
110,500,0,0,10,0,400
111,500,0,0,10,0,400
112,500,0,0,10,0,400
113,500,0,0,10,0,400
114,500,0,0,10,0,400
115,500,0,0,10,0,400
116,500,0,0,10,0,400
117,500,0,0,10,0,400
118,500,0,0,10,0,400
119,500,0,0,10,0,400
120,500,0,0,10,0,400
121,500,0,0,10,0,400
122,500,0,0,10,0,400
123,500,0,0,10,0,400
124,500,0,0,10,0,400
125,500,0,0,10,0,400
126,500,0,0,10,0,400
127,500,0,0,10,0,400
128,500,0,0,10,0,400
129,500,0,0,10,0,400
130,500,0,0,10,0,400
131,500,0,0,10,0,400
132,500,0,0,10,0,400
133,500,0,0,10,0,400
134,500,0,0,10,0,400
135,500,0,0,10,0,400
136,500,0,0,10,0,400
137,500,0,0,10,0,400
138,500,0,0,10,0,400
139,500,0,0,10,0,400
140,500,0,0,10,0,400
141,500,0,0,10,0,400
142,500,0,0,10,0,400
143,500,0,0,10,0,400
144,500,0,0,10,0,400
145,500,0,0,10,0,400
146,500,0,0,10,0,400
147,500,0,0,10,0,400
148,500,0,0,10,0,400
149,500,0,0,10,0,400
150,500,0,0,10,0,400
151,500,0,0,10,0,400
152,500,0,0,10,0,400
153,500,0,0,10,0,400
154,500,0,0,10,0,400
155,500,0,0,10,0,400
156,500,0,0,10,0,400
157,500,0,0,10,0,400
158,500,0,0,10,0,400
159,500,0,0,10,0,400
160,500,0,0,10,0,400
161,500,0,0,10,0,400
162,500,0,0,10,0,400
163,500,0,0,10,0,400
164,500,0,0,10,0,400
165,500,0,0,10,0,400
166,500,0,0,10,0,400
167,500,0,0,10,0,400
168,500,0,0,10,0,400
169,500,0,0,10,0,400
170,500,0,0,10,0,400
171,500,0,0,10,0,400
172,500,0,0,10,0,400
173,500,0,0,10,0,400
174,500,0,0,10,0,400
175,500,0,0,10,0,400
176,500,0,0,10,0,400
177,500,0,0,10,0,400
178,500,0,0,10,0,400
179,500,0,0,10,0,400
180,500,0,0,10,0,400
181,500,0,0,10,0,400
182,500,0,0,10,0,400
183,500,0,0,10,0,400
184,500,0,0,10,0,400
185,500,0,0,10,0,400
186,500,0,0,10,0,400
187,500,0,0,10,0,400
188,500,0,0,10,0,400
189,500,0,0,10,0,400
190,500,6,0,10,0,400
191,500,6,0,10,0,400
192,500,6,0,10,0,400
193,500,12,0,10,0,400
194,500,12,0,10,0,400
195,500,12,0,10,0,400
196,500,12,0,10,0,400
197,500,12,0,10,0,400
198,500,12,0,10,0,400
199,500,15,0,10,0,400
200,500,18,0,10,0,400
201,500,18,0,10,0,400
202,500,18,0,10,0,400
203,500,23,0,10,0,400
204,500,23,0,10,0,400
205,500,23,0,10,0,400
206,500,23,0,10,0,400
207,500,33,0,10,0,400
208,500,33,0,10,0,400
209,500,33,0,10,0,400
210,500,33,0,10,0,400
211,500,33,0,10,0,400
212,500,33,0,10,0,400
213,500,35,0,10,0,400
214,500,35,0,10,1,400
215,500,41,0,10,1,400
216,500,41,0,10,1,400
217,500,41,0,10,1,400
218,500,41,0,10,1,400
219,500,51,0,10,1,400
220,500,51,0,10,1,400
221,500,51,0,10,1,400
222,500,51,0,10,1,400
223,500,51,0,10,1,400
224,500,51,0,10,2,400
225,500,51,0,10,2,400
226,500,51,0,10,2,400
227,500,51,0,10,2,400
228,500,51,0,10,2,400
229,500,51,0,10,2,400
230,500,59,0,10,2,400
231,500,59,0,10,2,400
232,500,59,0,10,2,400
233,500,59,0,10,2,400
234,500,59,0,10,2,400
235,500,59,0,10,2,400
236,500,59,0,10,2,400
237,500,59,0,10,2,400
238,500,59,0,10,2,400
239,500,68,0,10,2,400
240,500,68,0,10,2,400
241,500,68,0,10,2,400
242,500,68,0,10,2,400
243,500,68,0,10,2,400
244,500,75,0,10,3,400
245,500,75,0,10,3,400
246,500,75,0,10,5,400
247,500,83,0,10,6,400
248,500,83,0,10,6,400
249,500,83,0,10,8,400
250,500,83,0,10,10,400
251,500,83,0,10,10,400
252,500,83,0,10,10,400
253,500,83,0,10,10,400
254,500,83,0,10,10,400
255,500,88,0,10,10,400
256,500,88,0,10,10,400
257,500,88,0,10,11,400
258,500,92,0,10,11,400
259,500,92,0,10,12,400
260,500,92,0,10,12,400
261,500,92,0,10,12,400
262,500,92,0,10,12,400
263,500,97,0,10,12,400
264,500,97,0,10,12,400
265,500,97,0,10,12,400
266,500,97,0,10,12,400
267,500,103,0,10,12,400
268,500,103,0,10,12,400
269,500,103,0,10,12,400
270,500,103,0,10,12,400
271,500,109,0,10,12,400
272,500,109,0,10,12,400
273,500,109,0,10,13,400
274,500,109,0,10,13,400
275,500,109,0,10,13,400
276,500,109,0,10,15,400
277,500,112,0,10,16,400
278,500,120,0,10,16,400
279,500,120,0,10,18,400
280,500,120,0,10,19,400
281,500,120,0,10,21,400
282,500,120,0,10,23,400
283,500,120,0,10,24,400
284,500,120,1,10,24,399
285,500,120,1,10,25,399
286,500,120,1,10,25,399
287,500,120,1,10,25,399
288,500,122,1,10,25,399
