tick,lps,tnfAlfa,alfasin
398,400,300,29
399,400,300,22
400,400,300,25
401,400,300,28
402,400,300,21
403,400,300,24
404,400,300,25
405,400,300,28
406,400,300,25
407,400,300,28
408,400,300,26
409,400,300,28
410,400,300,28
411,400,300,28
412,400,300,26
413,400,300,29
414,400,300,24
415,400,300,29
416,400,300,35
417,400,300,35
418,400,300,32
419,400,300,25
420,400,300,27
421,400,300,28
422,400,300,29
423,400,300,29
424,400,300,33
425,400,300,25
426,400,300,26
427,400,300,28
428,400,300,23
429,400,300,26
430,400,300,27
431,400,300,30
432,400,300,28
433,400,300,29
434,400,300,21
435,400,300,23
436,400,300,25
437,400,300,27
438,400,300,25
439,400,300,28
440,400,300,30
441,400,300,23
442,400,300,24
443,400,300,27
444,400,300,28
445,400,300,28
446,400,300,29
447,400,300,33
448,400,300,31
449,400,300,24
450,400,300,24
451,400,300,28
452,400,300,28
453,400,300,22
454,400,300,22
455,400,300,22
456,400,300,23
457,400,300,24
458,400,300,26
459,400,300,27
460,400,300,27
461,400,300,27
462,400,300,29
463,400,300,27
464,400,300,29
465,400,300,27
466,400,300,28
467,400,300,29
468,400,300,28
469,400,300,29
470,400,300,25
471,400,300,25
472,400,300,27
473,400,300,27
474,400,300,27
475,400,300,27
476,400,300,29
477,400,300,25
478,400,300,29
479,400,300,29
480,400,300,29
481,400,300,31
482,400,300,30
483,400,300,29
484,400,300,22
485,400,300,24
486,400,300,26
487,400,300,27
488,400,300,20
489,400,300,23
490,400,300,24
491,400,300,24
492,400,300,24
493,400,300,25
494,400,300,27
495,400,300,31
496,400,300,34
497,400,300,27
498,400,300,28
499,400,300,29
500,400,300,31
501,400,300,26
502,400,300,28
503,400,300,30
504,400,300,23
505,400,300,23
506,400,300,25
507,400,300,27
508,400,300,29
509,400,300,29
510,400,300,29
511,400,300,22
512,400,300,23
513,400,300,24
514,400,300,28
515,400,300,22
516,400,300,24
517,400,300,26
518,400,300,29
519,400,300,26
520,400,300,22
521,400,300,25
522,400,300,29
523,400,300,22
524,400,300,27
525,400,300,29
526,400,300,28
527,400,300,29
528,400,300,27
529,400,300,29
530,400,300,28
531,400,300,30
532,400,300,32
533,400,300,27
534,400,300,27
535,400,300,25
536,400,300,28
537,400,300,32
538,400,300,27
539,400,300,27
540,400,300,29
541,400,300,27
542,400,300,25
543,400,300,28
544,400,300,29
545,400,300,28
546,400,300,24
547,400,300,26
548,400,300,27
549,400,300,28
550,400,300,28
551,400,300,29
552,400,300,24
553,400,300,26
554,400,300,27
555,400,300,28
556,400,300,28
557,400,300,30
558,400,300,24
559,400,300,25
560,400,300,27
561,400,300,29
562,400,300,29
563,400,300,29
564,400,300,23
565,400,300,25
566,400,300,27
567,400,300,25
568,400,300,28
569,400,300,28
570,400,300,29
571,400,300,27
572,400,300,29
573,400,300,32
574,400,300,26
575,400,300,31
576,400,300,30
577,400,300,29
578,400,300,28
579,400,300,29
580,400,300,33
581,400,300,32
582,400,300,28
583,400,300,28
584,400,300,29
585,400,300,22
586,400,300,25
587,400,300,28
588,400,300,22
589,400,300,25
590,400,300,26
591,400,300,27
592,400,300,28
593,400,300,26
594,400,300,28
595,400,300,29
596,400,300,31
597,400,300,30
598,400,300,29
599,400,300,29
600,400,300,28
601,400,300,33
602,400,300,26
603,400,300,29
604,400,300,29
605,400,300,27
606,400,300,27
607,400,300,29
608,400,300,28
609,400,300,29
610,400,300,23
611,400,300,25
612,400,300,27
613,400,300,20
614,400,300,21
615,400,300,24
616,400,300,26
617,400,300,28
618,400,300,23
619,400,300,25
620,400,300,26
621,400,300,26
622,400,300,29
623,400,300,29
624,400,300,29
625,400,300,24
626,400,300,26
627,400,300,29
628,400,300,29
629,400,300,34
630,400,300,26
631,400,300,28
632,400,300,29
633,400,300,28
634,400,300,30
635,400,300,27
636,400,300,20
637,400,300,20
638,400,300,21
639,400,300,23
640,400,300,27
641,400,300,21
642,400,300,25
643,400,300,28
644,400,300,29
645,400,300,32
646,400,300,26
647,400,300,26
648,400,300,29
649,400,300,30
650,400,300,33
651,400,300,32
652,400,300,31
653,400,300,28
654,400,300,29
655,400,300,31
656,400,300,24
657,400,300,25
658,400,300,27
659,400,300,27
660,400,300,28
661,400,300,30
662,400,300,29
663,400,300,27
664,400,300,29
665,400,300,23
666,400,300,25
667,400,300,26
668,400,300,28
669,400,300,29
670,400,300,26
671,400,300,29
672,400,300,31
673,400,300,22
674,400,300,23
675,400,300,24
676,400,300,27
677,400,300,24
678,400,300,29
679,400,300,28
680,400,300,29
681,400,300,29
682,400,300,30
683,400,300,23
684,400,300,27
685,400,300,32
686,400,300,29
687,400,300,32
688,400,300,32
689,400,300,27
690,400,300,26
691,400,300,22
692,400,300,23
693,400,300,25
694,400,300,26
695,400,300,27
696,400,300,29
697,400,300,20
698,400,300,23
699,400,300,25
700,400,300,32
701,400,300,32
702,400,300,30
703,400,300,23
704,400,300,23
705,400,300,24
706,400,300,27
707,400,300,28
708,400,300,29
709,400,300,29
710,400,300,28
711,400,300,23
712,400,300,27
713,400,300,27
714,400,300,28
715,400,300,29
716,400,300,22
717,400,300,23
718,400,300,23
719,400,300,26
720,400,300,28
721,400,300,20
722,400,300,21
723,400,300,23
724,400,300,25
725,400,300,26
726,400,300,30
727,400,300,27
728,400,300,28
729,400,300,29
730,400,300,29
731,400,300,25
732,400,300,26
733,400,300,27
734,400,300,25
735,400,300,28
736,400,300,28
737,400,300,29
738,400,300,29
739,400,300,23
740,400,300,24
741,400,300,25
742,400,300,27
743,400,300,29
744,400,300,22
745,400,300,24
746,400,300,24
747,400,300,24
748,400,300,26
749,400,300,28
750,400,300,26
751,400,300,26
752,400,300,26
753,400,300,26
754,400,300,27
755,400,300,30
756,400,300,34
757,400,300,27
758,400,300,28
759,400,300,28
760,400,300,29
761,400,300,29
762,400,300,23
763,400,300,24
764,400,300,27
765,400,300,27
766,400,300,27
767,400,300,30
768,400,300,23
769,400,300,24
770,400,300,24
771,400,300,25
772,400,300,26
773,400,300,26
774,400,300,26
775,400,300,28
776,400,300,24
777,400,300,27
778,400,300,26
779,400,300,34
780,400,300,35
781,400,300,30
782,400,300,24
783,400,300,25
784,400,300,27
785,400,300,28
786,400,300,22
787,400,300,23
788,400,300,24
789,400,300,27
790,400,300,25
791,400,300,28
792,400,300,28
793,400,300,29
794,400,300,29
795,400,300,32
796,400,300,28
797,400,300,24
798,400,300,27
799,400,300,27
800,400,300,29
801,400,300,29
802,400,300,20
803,400,300,22
804,400,300,24
805,400,300,25
806,400,300,26
807,400,300,31
808,400,300,28
809,400,300,31
810,400,300,26
811,400,300,28
812,400,300,29
813,400,300,28
814,400,300,28
815,400,300,29
816,400,300,27
817,400,300,22
818,400,300,28
819,400,300,27
820,400,300,28
821,400,300,29
822,400,300,29
823,400,300,29
824,400,300,31
825,400,300,22
826,400,300,22
827,400,300,22
828,400,300,23
829,400,300,24
830,400,300,25
831,400,300,27
832,400,300,28
833,400,300,28
834,400,300,28
835,400,300,28
836,400,300,29
837,400,300,23
838,400,300,25
839,400,300,28
840,400,300,29
841,400,300,30
842,400,300,26
843,400,300,22
844,400,300,25
845,400,300,27
846,400,300,28
847,400,300,29
848,400,300,30
849,400,300,24
850,400,300,24
851,400,300,26
852,400,300,27
853,400,300,29
854,400,300,29
855,400,300,29
856,400,300,29
857,400,300,28
858,400,300,29
859,400,300,26
860,400,300,24
861,400,300,27
862,400,300,29
863,400,300,27
864,400,300,28
865,400,300,28
866,400,300,28
867,400,300,29
868,400,300,26
869,400,300,27
870,400,300,28
871,400,300,20
872,400,300,21
873,400,300,26
874,400,300,29
875,400,300,31
876,400,300,34
877,400,300,32
878,400,300,32
879,400,300,29
880,400,300,24
881,400,300,24
882,400,300,27
883,400,300,29
884,400,300,25
885,400,300,26
886,400,300,26
887,400,300,27
888,400,300,28
889,400,300,28
890,400,300,29
891,400,300,22
892,400,300,24
893,400,300,27
894,400,300,28
895,400,300,30
896,400,300,24
897,400,300,25
898,400,300,26
899,400,300,28
900,400,300,30
901,400,300,29
902,400,300,23
903,400,300,26
904,400,300,29
905,400,300,23
906,400,300,25
907,400,300,26
908,400,300,29
909,400,300,21
910,400,300,23
911,400,300,24
912,400,300,26
913,400,300,29
914,400,300,29
915,400,300,30
916,400,300,30
917,400,300,22
918,400,300,25
919,400,300,28
920,400,300,31
921,400,300,25
922,400,300,27
923,400,300,30
924,400,300,24
925,400,300,26
926,400,300,28
927,400,300,29
928,400,300,31
929,400,300,29
