tick,nadh,alfasinucleina,ros,artificialAgent,electron,oxygen
198,500,0,0,10,0,400
199,500,0,0,10,0,400
200,500,0,0,10,0,400
201,500,0,0,10,0,400
202,500,0,0,10,0,400
203,500,0,0,10,0,400
204,500,0,0,10,0,400
205,500,0,0,10,0,400
206,500,7,0,10,0,400
207,500,7,0,10,0,400
208,500,7,0,10,0,400
209,500,7,0,10,0,400
210,500,7,0,10,0,400
211,500,8,0,10,0,400
212,500,15,0,10,1,400
213,500,15,0,10,2,400
214,500,17,0,10,2,400
215,500,20,0,10,2,400
216,500,20,0,10,2,400
217,500,27,0,10,2,400
218,500,27,0,10,2,400
219,500,27,0,10,2,400
220,500,27,0,10,2,400
221,500,31,0,10,2,400
222,500,31,0,10,2,400
223,500,34,0,10,2,400
224,500,40,0,10,2,400
225,500,40,0,10,2,400
226,500,40,0,10,2,400
227,500,40,0,10,2,400
228,500,40,0,10,2,400
229,500,40,0,10,2,400
230,500,48,0,10,2,400
231,500,48,0,10,2,400
232,500,48,0,10,2,400
233,500,48,0,10,2,400
234,500,48,0,10,2,400
235,500,48,0,10,2,400
236,500,57,0,10,3,400
237,500,57,0,10,4,400
238,500,57,0,10,5,400
239,500,57,0,10,5,400
240,500,57,0,10,5,400
241,500,57,0,10,5,400
242,500,57,0,10,5,400
243,500,57,0,10,5,400
244,500,57,0,10,5,400
245,500,57,0,10,5,400
246,500,59,0,10,5,400
247,500,61,0,10,6,400
248,500,61,0,10,6,400
249,500,67,0,10,6,400
250,500,67,0,10,6,400
251,500,67,0,10,6,400
252,500,67,0,10,6,400
253,500,67,0,10,6,400
254,500,76,0,10,6,400
255,500,76,0,10,6,400
256,500,76,0,10,6,400
257,500,76,0,10,6,400
258,500,76,0,10,6,400
259,500,81,0,10,6,400
260,500,81,0,10,6,400
261,500,81,0,10,6,400
262,500,81,0,10,7,400
263,500,85,0,10,7,400
264,500,85,0,10,7,400
265,500,85,0,10,7,400
266,500,88,0,10,7,400
267,500,95,0,10,7,400
268,500,95,0,10,7,400
269,500,95,0,10,7,400
270,500,101,0,10,7,400
271,500,107,0,10,7,400
272,500,108,0,10,9,400
273,500,112,0,10,10,400
274,500,112,0,10,10,400
275,500,121,0,10,10,400
276,500,121,0,10,10,400
277,500,121,0,10,10,400
278,500,121,0,10,10,400
279,500,125,0,10,10,400
280,500,125,0,10,10,400
281,500,127,0,10,10,400
282,500,127,0,10,10,400
283,500,133,0,10,10,400
284,500,133,0,10,10,400
285,500,142,0,10,12,400
286,500,142,0,10,14,400
287,500,142,0,10,14,400
288,500,144,0,10,14,400
289,500,147,0,10,15,400
290,500,147,0,10,15,400
291,500,147,0,10,16,400
292,500,153,0,10,17,400
293,500,153,0,10,17,400
294,500,153,0,10,17,400
295,500,153,0,10,17,400
296,500,153,0,10,17,400
297,500,154,0,10,17,400
298,500,155,0,10,17,400
299,500,159,0,10,17,400
300,500,159,0,10,17,400
301,500,169,0,10,17,400
302,500,169,0,10,18,400
303,500,169,0,10,18,400
304,500,169,0,10,19,400
305,500,169,1,10,18,399
306,500,169,1,10,19,399
307,500,169,1,10,20,399
308,500,171,1,10,21,399
309,500,171,1,10,22,399
310,500,171,1,10,22,399
311,500,171,1,10,24,399
312,500,172,1,10,24,399
313,500,180,2,10,23,398
314,500,186,2,10,23,398
315,500,186,2,10,24,398
316,500,194,2,10,24,398
317,500,194,2,10,25,398
318,500,202,2,10,26,398
319,500,202,2,10,26,398
320,500,202,2,10,26,398
321,500,202,2,10,26,398
322,500,206,2,10,26,398
323,500,210,2,10,26,398
324,500,210,2,10,27,398
325,500,214,2,10,29,398
326,500,215,2,10,29,398
327,500,221,2,10,32,398
328,500,226,2,10,32,398
329,500,226,2,10,32,398
330,500,235,2,10,33,398
331,500,235,2,10,34,398
332,500,236,2,10,34,398
333,500,236,2,10,34,398
334,500,243,2,10,35,398
335,500,253,2,10,35,398
336,500,253,2,10,35,398
337,500,253,2,10,36,398
338,500,258,2,10,36,398
339,500,258,2,10,36,398
