tick,nadh,alfasinucleina,ros,artificialAgent,electron,oxygen
1,500,0,0,0,0,700
2,500,0,0,0,0,700
3,500,0,0,0,0,700
4,500,0,0,0,0,700
5,500,0,0,0,0,700
6,500,0,0,0,0,700
7,500,0,0,0,0,700
8,500,0,0,0,0,700
9,500,0,0,0,0,700
10,500,0,0,0,0,700
11,500,0,0,0,0,700
12,500,0,0,0,0,700
13,500,0,0,0,0,700
14,500,0,0,0,0,700
15,500,0,0,0,0,700
16,500,0,0,0,0,700
17,500,0,0,0,0,700
18,500,0,0,0,0,700
19,500,0,0,0,0,700
20,500,0,0,0,0,700
21,500,0,0,0,0,700
22,500,0,0,0,0,700
23,500,0,0,0,0,700
24,500,0,0,0,0,700
25,500,0,0,0,0,700
26,500,0,0,0,0,700
27,500,0,0,0,0,700
28,500,0,0,0,0,700
29,500,0,0,0,0,700
30,500,0,0,0,0,700
31,500,0,0,0,0,700
32,500,0,0,0,0,700
33,500,0,0,0,0,700
34,500,0,0,0,0,700
35,500,0,0,0,0,700
36,500,0,0,0,0,700
37,500,0,0,0,0,700
38,500,0,0,0,0,700
39,500,0,0,0,0,700
40,500,0,0,0,0,700
41,500,0,0,0,0,700
42,500,0,0,0,0,700
43,500,0,0,0,0,700
44,500,0,0,0,0,700
45,500,0,0,0,0,700
46,500,0,0,0,0,700
47,500,0,0,0,0,700
48,500,0,0,0,0,700
49,500,0,0,0,0,700
50,500,0,0,0,0,700
51,500,0,0,0,0,700
52,500,0,0,0,0,700
53,500,0,0,0,0,700
54,500,0,0,0,0,700
55,500,0,0,0,0,700
56,500,0,0,0,0,700
57,500,0,0,0,0,700
58,500,0,0,0,0,700
59,500,0,0,0,0,700
60,500,0,0,0,0,700
61,500,0,0,0,0,700
62,500,0,0,0,0,700
63,500,0,0,0,0,700
64,500,0,0,0,0,700
65,500,0,0,0,0,700
66,500,0,0,0,0,700
67,500,0,0,0,0,700
68,500,0,0,0,0,700
69,500,0,0,0,0,700
70,500,0,0,0,0,700
71,500,0,0,0,0,700
72,500,0,0,0,0,700
73,500,0,0,0,0,700
74,500,0,0,0,0,700
75,500,0,0,0,0,700
76,500,0,0,0,0,700
77,500,0,0,0,0,700
78,500,0,0,0,0,700
79,500,0,0,0,0,700
80,500,0,0,0,0,700
81,500,0,0,0,0,700
82,500,0,0,0,0,700
83,500,0,0,0,0,700
84,500,0,0,0,0,700
85,500,0,0,0,0,700
86,500,0,0,0,0,700
87,500,0,0,0,0,700
88,500,0,0,0,0,700
89,500,4,0,0,0,700
90,500,14,0,0,0,700
91,500,14,0,0,0,700
92,500,20,0,0,0,700
93,500,28,0,0,0,700
94,500,30,0,0,0,700
95,500,30,0,0,0,700
96,500,36,0,0,0,700
97,500,40,0,0,0,700
98,500,41,0,0,0,700
99,500,48,0,0,0,700
100,500,53,0,0,0,700
101,500,55,0,0,0,700
102,500,62,0,0,0,700
103,500,70,0,0,0,700
104,500,78,0,0,0,700
105,500,86,0,0,0,700
106,500,89,0,0,0,700
107,500,94,0,0,0,700
108,500,100,0,0,0,700
109,500,102,0,0,0,700
110,500,109,0,0,0,700
111,500,109,0,0,0,700
112,500,109,0,0,0,700
113,500,111,0,0,1,700
114,500,119,0,0,1,700
115,500,125,0,0,1,700
116,500,125,0,0,1,700
117,500,129,0,0,1,700
118,500,132,0,0,1,700
119,500,139,0,0,1,700
120,500,148,0,0,1,700
121,500,152,0,0,2,700
122,500,162,0,0,2,700
123,500,164,0,0,3,700
124,500,174,0,0,4,700
125,500,183,0,0,5,700
126,500,191,0,0,5,700
127,500,197,0,0,6,700
128,500,206,0,0,7,700
129,500,216,0,0,7,700
130,500,221,0,0,8,700
131,500,223,0,0,9,700
132,500,226,0,0,9,700
133,500,226,0,0,11,700
134,500,236,0,0,11,700
135,500,236,0,0,12,700
136,500,242,0,0,13,700
137,500,245,0,0,13,700
138,500,246,0,0,13,700
139,500,256,1,0,12,699
140,500,262,1,0,14,699
141,500,266,1,0,15,699
142,500,272,1,0,17,699
143,500,271,2,0,16,698
144,500,277,2,0,17,698
145,500,288,2,0,18,698
146,500,293,2,0,20,698
147,500,297,3,0,19,697
148,500,302,3,0,19,697
149,500,308,3,0,20,697
150,500,309,5,0,19,695
151,500,313,5,0,19,695
152,500,316,5,0,19,695
153,500,316,6,0,18,694
154,500,320,6,0,19,694
155,500,330,6,0,22,694
156,500,337,6,0,24,694
157,500,347,6,0,25,694
158,500,353,6,0,27,694
159,500,354,6,0,27,694
160,500,364,6,0,27,694
161,500,369,6,0,28,694
162,500,375,6,0,31,694
163,500,384,7,0,30,693
164,500,386,8,0,31,692
165,500,389,10,0,32,690
166,500,399,11,0,31,689
167,500,406,12,0,31,688
168,500,406,13,0,32,687
169,500,416,13,0,33,687
170,500,417,14,0,32,686
171,500,420,14,0,35,686
172,500,426,14,0,38,686
173,500,435,16,0,37,684
174,500,439,17,0,37,683
175,500,440,17,0,38,683
176,500,446,17,0,39,683
177,500,446,19,0,37,681
178,500,455,19,0,38,681
179,500,457,19,0,38,681
180,500,457,19,0,39,681
181,500,462,19,0,39,681
182,500,466,19,0,40,681
183,500,466,20,0,42,680
184,500,466,21,0,43,679
185,500,475,22,0,43,678
186,500,475,22,0,47,678
187,500,482,22,0,50,678
188,500,488,22,0,51,678
189,500,496,23,0,52,677
190,500,496,23,0,52,677
191,500,496,24,0,54,676
192,500,497,24,0,56,676
193,500,505,25,0,56,675
194,500,514,25,0,57,675
195,500,520,25,0,59,675
196,500,520,25,0,61,675
