tick,lps,tnfAlfa,alfasin
398,400,300,28
399,400,300,24
400,400,300,25
401,400,300,26
402,400,300,27
403,400,300,29
404,400,300,27
405,400,300,21
406,400,300,22
407,400,300,25
408,400,300,27
409,400,300,27
410,400,300,29
411,400,300,21
412,400,300,23
413,400,300,24
414,400,300,24
415,400,300,25
416,400,300,27
417,400,300,28
418,400,300,21
419,400,300,22
420,400,300,23
421,400,300,28
422,400,300,25
423,400,300,28
424,400,300,28
425,400,300,26
426,400,300,29
427,400,300,20
428,400,300,21
429,400,300,25
430,400,300,25
431,400,300,27
432,400,300,24
433,400,300,28
434,400,300,22
435,400,300,23
436,400,300,25
437,400,300,28
438,400,300,23
439,400,300,25
440,400,300,26
441,400,300,28
442,400,300,22
443,400,300,25
444,400,300,27
445,400,300,28
446,400,300,28
447,400,300,29
448,400,300,29
449,400,300,22
450,400,300,23
451,400,300,23
452,400,300,24
453,400,300,24
454,400,300,24
455,400,300,25
456,400,300,25
457,400,300,27
458,400,300,28
459,400,300,29
460,400,300,28
461,400,300,25
462,400,300,29
463,400,300,29
464,400,300,24
465,400,300,25
466,400,300,27
467,400,300,28
468,400,300,22
469,400,300,23
470,400,300,24
471,400,300,24
472,400,300,28
473,400,300,29
474,400,300,22
475,400,300,22
476,400,300,22
477,400,300,26
478,400,300,28
479,400,300,28
480,400,300,31
481,400,300,28
482,400,300,29
483,400,300,21
484,400,300,23
485,400,300,24
486,400,300,26
487,400,300,27
488,400,300,27
489,400,300,21
490,400,300,23
491,400,300,23
492,400,300,23
493,400,300,25
494,400,300,26
495,400,300,29
496,400,300,31
497,400,300,30
498,400,300,29
499,400,300,29
500,400,300,23
501,400,300,24
502,400,300,26
503,400,300,29
504,400,300,26
505,400,300,27
506,400,300,28
507,400,300,29
508,400,300,20
509,400,300,20
510,400,300,22
511,400,300,23
512,400,300,25
513,400,300,26
514,400,300,27
515,400,300,28
516,400,300,29
517,400,300,29
518,400,300,21
519,400,300,23
520,400,300,25
521,400,300,26
522,400,300,26
523,400,300,28
524,400,300,29
525,400,300,29
526,400,300,23
527,400,300,26
528,400,300,29
529,400,300,29
530,400,300,26
531,400,300,26
532,400,300,28
533,400,300,29
534,400,300,27
535,400,300,27
536,400,300,29
537,400,300,30
538,400,300,31
539,400,300,31
540,400,300,26
541,400,300,28
542,400,300,21
543,400,300,23
544,400,300,23
545,400,300,23
546,400,300,24
547,400,300,24
548,400,300,25
549,400,300,26
550,400,300,26
551,400,300,26
552,400,300,29
553,400,300,29
554,400,300,31
555,400,300,31
556,400,300,31
557,400,300,31
558,400,300,27
559,400,300,27
560,400,300,29
561,400,300,31
562,400,300,30
563,400,300,27
564,400,300,30
565,400,300,26
566,400,300,29
567,400,300,32
568,400,300,30
569,400,300,24
570,400,300,27
571,400,300,29
572,400,300,29
573,400,300,23
574,400,300,24
575,400,300,27
576,400,300,26
577,400,300,29
578,400,300,28
579,400,300,26
580,400,300,27
581,400,300,29
582,400,300,31
583,400,300,21
584,400,300,23
585,400,300,24
586,400,300,25
587,400,300,26
588,400,300,27
589,400,300,28
590,400,300,28
591,400,300,26
592,400,300,27
593,400,300,30
594,400,300,22
595,400,300,23
596,400,300,23
597,400,300,24
598,400,300,25
599,400,300,25
600,400,300,27
601,400,300,26
602,400,300,28
603,400,300,30
604,400,300,27
605,400,300,28
606,400,300,24
607,400,300,29
608,400,300,22
609,400,300,25
610,400,300,28
611,400,300,30
612,400,300,26
613,400,300,28
614,400,300,29
615,400,300,25
616,400,300,28
617,400,300,28
618,400,300,27
619,400,300,32
620,400,300,30
621,400,300,25
622,400,300,21
623,400,300,23
624,400,300,24
625,400,300,24
626,400,300,28
627,400,300,30
628,400,300,33
629,400,300,34
630,400,300,27
631,400,300,24
632,400,300,27
633,400,300,23
634,400,300,25
635,400,300,29
636,400,300,31
637,400,300,30
638,400,300,25
639,400,300,29
640,400,300,26
641,400,300,27
642,400,300,29
643,400,300,27
644,400,300,29
645,400,300,20
646,400,300,21
647,400,300,24
648,400,300,24
649,400,300,25
650,400,300,25
651,400,300,27
652,400,300,29
653,400,300,22
654,400,300,25
655,400,300,29
656,400,300,27
657,400,300,27
658,400,300,29
659,400,300,24
660,400,300,27
661,400,300,28
662,400,300,29
663,400,300,22
664,400,300,25
665,400,300,29
666,400,300,24
667,400,300,27
668,400,300,26
669,400,300,27
670,400,300,21
671,400,300,23
672,400,300,27
673,400,300,28
674,400,300,29
675,400,300,20
676,400,300,20
677,400,300,23
678,400,300,24
679,400,300,26
680,400,300,29
681,400,300,27
682,400,300,29
683,400,300,24
684,400,300,26
685,400,300,27
686,400,300,28
687,400,300,21
688,400,300,23
689,400,300,25
690,400,300,27
691,400,300,29
692,400,300,30
693,400,300,25
694,400,300,28
695,400,300,26
696,400,300,29
697,400,300,26
698,400,300,26
699,400,300,29
700,400,300,24
701,400,300,26
702,400,300,27
703,400,300,29
704,400,300,25
705,400,300,29
706,400,300,31
707,400,300,25
708,400,300,26
709,400,300,26
710,400,300,27
711,400,300,31
712,400,300,23
713,400,300,26
714,400,300,28
715,400,300,28
716,400,300,29
717,400,300,24
718,400,300,24
719,400,300,25
720,400,300,25
721,400,300,28
722,400,300,21
723,400,300,24
724,400,300,26
725,400,300,28
726,400,300,21
727,400,300,23
728,400,300,26
729,400,300,28
730,400,300,29
731,400,300,27
732,400,300,26
733,400,300,29
734,400,300,25
735,400,300,26
736,400,300,28
737,400,300,23
738,400,300,26
739,400,300,28
740,400,300,30
741,400,300,29
742,400,300,30
743,400,300,28
744,400,300,28
745,400,300,29
746,400,300,28
747,400,300,22
748,400,300,22
749,400,300,23
750,400,300,24
751,400,300,26
752,400,300,28
753,400,300,29
754,400,300,28
755,400,300,29
756,400,300,23
757,400,300,24
758,400,300,26
759,400,300,29
760,400,300,32
761,400,300,30
762,400,300,27
763,400,300,27
764,400,300,20
765,400,300,21
766,400,300,23
767,400,300,25
768,400,300,27
769,400,300,29
770,400,300,30
771,400,300,23
772,400,300,26
773,400,300,28
774,400,300,29
775,400,300,26
776,400,300,27
777,400,300,31
778,400,300,27
779,400,300,22
780,400,300,23
781,400,300,24
782,400,300,27
783,400,300,27
784,400,300,22
785,400,300,26
786,400,300,23
787,400,300,29
788,400,300,26
789,400,300,27
790,400,300,26
791,400,300,29
792,400,300,30
793,400,300,24
794,400,300,27
795,400,300,27
796,400,300,25
797,400,300,28
798,400,300,22
799,400,300,23
800,400,300,24
801,400,300,25
802,400,300,27
803,400,300,32
804,400,300,32
805,400,300,33
806,400,300,29
807,400,300,23
808,400,300,25
809,400,300,27
810,400,300,27
811,400,300,29
812,400,300,30
813,400,300,27
814,400,300,27
815,400,300,29
816,400,300,31
817,400,300,23
818,400,300,24
819,400,300,27
820,400,300,28
821,400,300,26
822,400,300,30
823,400,300,24
824,400,300,25
825,400,300,29
826,400,300,27
827,400,300,28
828,400,300,28
829,400,300,27
830,400,300,30
831,400,300,25
832,400,300,26
833,400,300,26
834,400,300,26
835,400,300,29
836,400,300,21
837,400,300,24
838,400,300,26
839,400,300,28
840,400,300,22
841,400,300,24
842,400,300,25
843,400,300,25
844,400,300,27
845,400,300,24
846,400,300,25
847,400,300,27
848,400,300,29
849,400,300,29
850,400,300,26
851,400,300,26
852,400,300,28
853,400,300,25
854,400,300,25
855,400,300,27
856,400,300,26
857,400,300,21
858,400,300,23
859,400,300,24
860,400,300,25
861,400,300,28
862,400,300,22
863,400,300,25
864,400,300,27
865,400,300,30
866,400,300,26
867,400,300,29
868,400,300,27
869,400,300,29
870,400,300,29
871,400,300,24
872,400,300,28
873,400,300,29
874,400,300,31
875,400,300,30
876,400,300,24
877,400,300,28
878,400,300,29
879,400,300,27
880,400,300,28
881,400,300,28
882,400,300,31
883,400,300,21
884,400,300,24
885,400,300,27
886,400,300,21
887,400,300,25
888,400,300,28
889,400,300,29
890,400,300,27
891,400,300,28
892,400,300,27
893,400,300,25
894,400,300,28
895,400,300,31
896,400,300,26
897,400,300,20
898,400,300,24
899,400,300,26
900,400,300,29
901,400,300,28
902,400,300,27
903,400,300,27
904,400,300,28
905,400,300,30
906,400,300,27
907,400,300,28
908,400,300,29
909,400,300,27
910,400,300,27
911,400,300,28
912,400,300,29
913,400,300,24
914,400,300,25
915,400,300,27
916,400,300,27
