tick,scfa,lps_microbiota,permeability,cellEpit,lps_lumen,tnfAlfa,alfasin,nadh,alfasinucleina,ros,electron,oxygen
109,104,291,173.1700178481437,100,9,0,0,500,0,0,0,700
110,100,288,176.63341820510655,100,12,0,0,500,0,0,0,700
111,96,285,180.1660865692087,100,15,0,0,500,0,0,0,700
112,92,282,183.7694083005929,100,18,0,0,500,0,0,0,700
113,88,279,187.4447964666047,100,21,0,0,500,0,0,0,700
114,84,276,191.1936923959368,100,24,0,0,500,0,0,0,700
115,80,273,195.01756624385555,100,27,0,0,500,0,0,0,700
116,76,270,198.91791756873263,100,30,0,0,500,0,0,0,700
117,72,267,202.8962759201073,100,33,0,0,500,0,0,0,700
118,68,262,206.95420143850947,100,38,0,0,500,0,0,0,700
119,64,257,211.09328546727969,100,43,0,0,500,0,0,0,700
120,60,252,215.31515117662525,100,48,0,0,500,0,0,0,700
121,56,247,219.62145420015776,100,53,0,0,500,0,0,0,700
122,52,242,224.01388328416093,100,58,0,0,500,0,0,0,700
123,48,237,228.49416094984412,100,63,0,0,500,0,0,0,700
124,45,232,233.06404416884104,100,68,0,0,500,0,0,0,700
125,43,227,237.72532505221787,100,73,0,0,500,0,0,0,700
126,41,222,242.47983155326224,100,78,0,0,500,0,0,0,700
127,40,217,247.32942818432747,100,83,0,0,500,0,0,0,700
128,40,212,252.27601674801403,100,88,0,0,500,0,0,0,700
129,40,207,257.3215370829743,100,93,0,0,500,0,0,0,700
130,40,202,262.4679678246338,100,98,0,0,500,0,0,0,700
131,40,194,267.71732718112645,100,106,0,0,500,0,0,0,700
132,40,186,273.07167372474896,100,114,0,0,500,0,0,0,700
133,40,178,278.53310719924394,100,122,0,0,500,0,0,0,700
134,40,170,284.1037693432288,100,130,0,0,500,0,0,0,700
135,40,162,289.7858447300934,100,138,0,0,500,0,0,0,700
136,40,154,295.58156162469527,100,146,0,0,500,0,0,0,700
137,39,146,301.4931928571892,100,154,0,0,500,0,0,0,700
138,39,138,307.52305671433294,100,162,0,0,500,0,0,0,700
139,39,130,313.6735178486196,100,170,0,0,500,0,0,0,700
140,39,122,319.946988205592,100,178,0,0,500,0,0,0,700
141,39,114,326.34592796970384,100,186,50,0,500,0,0,0,700
142,39,106,326.34592796970384,100,194,105,1,500,0,0,0,700
143,39,98,326.34592796970384,100,202,155,1,500,0,0,0,700
144,39,90,326.34592796970384,100,210,223,2,500,0,0,0,700
145,39,82,326.34592796970384,100,218,280,2,500,0,0,0,700
146,39,74,326.34592796970384,100,226,340,3,500,0,0,0,700
147,38,66,326.34592796970384,100,234,401,3,500,0,0,0,700
148,38,58,326.34592796970384,100,242,398,3,500,0,0,0,700
149,38,50,326.34592796970384,100,250,398,4,500,0,0,0,700
150,38,42,326.34592796970384,100,258,400,5,500,0,0,0,700
151,38,34,326.34592796970384,100,266,400,7,500,0,0,0,700
152,38,26,326.34592796970384,100,274,401,10,500,0,0,0,700
153,38,18,326.34592796970384,100,282,403,10,500,0,0,0,700
154,38,10,326.34592796970384,100,290,403,10,500,0,0,0,700
155,38,2,326.34592796970384,100,298,400,10,500,0,0,0,700
156,38,0,326.34592796970384,100,300,399,10,500,0,0,0,700
157,38,0,326.34592796970384,100,300,401,10,500,0,0,0,700
158,38,0,326.34592796970384,100,300,401,10,500,0,0,0,700
159,38,0,326.34592796970384,100,300,401,10,500,0,0,0,700
160,38,0,326.34592796970384,100,300,401,10,500,0,0,0,700
161,38,0,326.34592796970384,100,300,402,10,500,0,0,0,700
162,38,0,326.34592796970384,100,300,401,10,500,0,0,0,700
163,38,0,326.34592796970384,100,300,403,10,500,0,0,0,700
164,38,0,326.34592796970384,100,300,403,10,500,0,0,0,700
165,38,0,326.34592796970384,100,300,403,10,500,0,0,0,700
166,38,0,326.34592796970384,100,300,402,10,500,0,0,0,700
167,38,0,326.34592796970384,100,300,402,10,500,0,0,0,700
168,38,0,326.34592796970384,100,300,401,10,500,0,0,0,700
169,38,0,326.34592796970384,100,300,401,10,500,0,0,0,700
170,38,0,326.34592796970384,100,300,400,10,500,0,0,0,700
171,38,0,326.34592796970384,100,300,401,10,500,0,0,0,700
172,38,0,326.34592796970384,100,300,399,10,500,0,0,0,700
173,38,0,326.34592796970384,100,300,400,10,500,0,0,0,700
174,38,0,326.34592796970384,100,300,400,10,500,0,0,0,700
175,38,0,326.34592796970384,100,300,400,10,500,0,0,0,700
176,38,0,326.34592796970384,100,300,400,10,500,0,0,0,700
177,38,0,326.34592796970384,100,300,400,10,500,0,0,0,700
178,38,0,326.34592796970384,100,300,399,10,500,0,0,0,700
179,38,0,326.34592796970384,100,300,399,10,500,0,0,0,700
180,38,0,326.34592796970384,100,300,398,10,500,0,0,0,700
181,38,0,326.34592796970384,100,300,403,10,500,0,0,0,700
182,38,0,326.34592796970384,100,300,400,10,500,0,0,0,700
183,38,0,326.34592796970384,100,300,402,10,500,0,0,0,700
184,38,0,326.34592796970384,100,300,402,10,500,0,0,0,700
185,38,0,326.34592796970384,100,300,401,10,500,0,0,0,700
186,38,0,326.34592796970384,100,300,400,10,500,0,0,0,700
187,38,0,326.34592796970384,100,300,399,10,500,0,0,0,700
188,38,0,326.34592796970384,100,300,401,10,500,0,0,0,700
189,38,0,326.34592796970384,100,300,402,10,500,0,0,0,700
190,38,0,326.34592796970384,100,300,402,10,500,0,0,0,700
191,38,0,326.34592796970384,100,300,403,10,500,0,0,0,700
192,38,0,326.34592796970384,100,300,402,10,500,0,0,0,700
193,38,0,326.34592796970384,100,300,400,10,500,0,0,0,700
194,38,0,326.34592796970384,100,300,400,10,500,0,0,0,700
195,38,0,326.34592796970384,100,300,399,10,500,0,0,0,700
196,38,0,326.34592796970384,100,300,400,10,500,0,0,0,700
197,38,0,326.34592796970384,100,300,400,10,500,0,0,0,700
198,38,0,326.34592796970384,100,300,399,10,500,0,0,0,700
199,38,0,326.34592796970384,100,300,402,10,500,0,0,0,700
200,38,0,326.34592796970384,100,300,403,10,500,0,0,0,700
201,38,0,326.34592796970384,100,300,401,10,500,0,0,0,700
202,38,0,326.34592796970384,100,300,402,10,500,0,0,0,700
203,38,0,326.34592796970384,100,300,403,10,500,0,0,0,700
204,38,0,326.34592796970384,100,300,402,10,500,0,0,0,700
205,38,0,326.34592796970384,100,300,402,10,500,0,0,0,700
206,38,0,326.34592796970384,100,300,402,10,500,0,0,0,700
207,38,0,326.34592796970384,100,300,401,10,500,0,0,0,700
208,38,0,326.34592796970384,100,300,401,10,500,0,0,0,700
209,38,0,326.34592796970384,100,300,402,10,500,0,0,0,700
210,38,0,326.34592796970384,100,300,400,10,500,0,0,0,700
211,38,0,326.34592796970384,100,300,401,10,500,0,0,0,700
212,38,0,326.34592796970384,100,300,400,10,500,0,0,0,700
213,38,0,326.34592796970384,100,300,399,10,500,0,0,0,700
214,38,0,326.34592796970384,100,300,400,10,500,0,0,0,700
215,38,0,326.34592796970384,100,300,401,10,500,0,0,0,700
216,38,0,326.34592796970384,100,300,402,10,500,0,0,0,700
217,38,0,326.34592796970384,100,300,406,10,500,0,0,0,700
218,38,0,326.34592796970384,100,300,404,10,500,0,0,0,700
219,38,0,326.34592796970384,100,300,405,10,500,0,0,0,700
220,38,0,326.34592796970384,100,300,402,10,500,0,0,0,700
221,38,0,326.34592796970384,100,300,404,10,500,0,0,0,700
222,38,0,326.34592796970384,100,300,402,10,500,0,0,0,700
223,38,0,326.34592796970384,100,300,404,10,500,0,0,0,700
224,38,0,326.34592796970384,100,300,400,10,500,0,0,0,700
225,38,0,326.34592796970384,100,300,400,10,500,0,0,0,700
226,38,0,326.34592796970384,100,300,400,10,500,0,0,0,700
227,38,0,326.34592796970384,100,300,399,10,500,0,0,0,700
228,38,0,326.34592796970384,100,300,400,10,500,0,0,0,700
229,38,0,326.34592796970384,100,300,399,10,500,0,0,0,700
230,38,0,326.34592796970384,100,300,398,10,500,0,0,0,700
231,38,0,326.34592796970384,100,300,400,10,500,0,0,0,700
232,38,0,326.34592796970384,100,300,398,10,500,0,0,0,700
233,38,0,326.34592796970384,100,300,399,10,500,0,0,0,700
234,38,0,326.34592796970384,100,300,401,10,500,0,0,0,700
235,38,0,326.34592796970384,100,300,400,10,500,0,0,0,700
236,38,0,326.34592796970384,100,300,401,10,500,0,0,0,700
237,38,0,326.34592796970384,100,300,403,10,500,0,0,0,700
238,38,0,326.34592796970384,100,300,401,10,500,0,0,0,700
239,38,0,326.34592796970384,100,300,402,10,500,0,0,0,700
240,38,0,326.34592796970384,100,300,403,10,500,0,0,0,700
241,38,0,326.34592796970384,100,300,405,10,500,0,0,0,700
242,38,0,326.34592796970384,100,300,402,10,500,0,0,0,700
243,38,0,326.34592796970384,100,300,406,10,500,0,0,0,700
244,38,0,326.34592796970384,100,300,405,10,500,0,0,0,700
245,38,0,326.34592796970384,100,300,404,10,500,0,0,0,700
246,38,0,326.34592796970384,100,300,403,10,500,0,0,0,700
247,38,0,326.34592796970384,100,300,403,10,500,0,0,0,700
248,38,0,326.34592796970384,100,300,403,10,500,0,0,0,700
249,38,0,326.34592796970384,100,300,404,10,500,0,0,0,700
250,38,0,326.34592796970384,100,300,402,10,500,0,0,0,700
251,38,0,326.34592796970384,100,300,400,10,500,0,0,0,700
252,38,0,326.34592796970384,100,300,402,10,500,0,0,0,700
253,38,0,326.34592796970384,100,300,403,10,500,0,0,0,700
254,38,0,326.34592796970384,100,300,402,10,500,0,0,0,700
255,38,0,326.34592796970384,100,300,406,10,500,0,0,0,700
256,38,0,326.34592796970384,100,300,405,10,500,0,0,0,700
257,38,0,326.34592796970384,100,300,403,10,500,0,0,0,700
258,38,0,326.34592796970384,100,300,403,10,500,0,0,0,700
259,38,0,326.34592796970384,100,300,404,10,500,0,0,0,700
260,38,0,326.34592796970384,100,300,403,10,500,0,0,0,700
261,38,0,326.34592796970384,100,300,402,10,500,0,0,0,700
262,38,0,326.34592796970384,100,300,403,10,500,0,0,0,700
263,38,0,326.34592796970384,100,300,402,10,500,0,0,0,700
264,38,0,326.34592796970384,100,300,402,10,500,0,0,0,700
265,38,0,326.34592796970384,100,300,402,10,500,0,0,0,700
266,38,0,326.34592796970384,100,300,402,10,500,0,0,0,700
267,38,0,326.34592796970384,100,300,403,10,500,0,0,0,700
268,38,0,326.34592796970384,100,300,402,10,500,0,0,0,700
269,38,0,326.34592796970384,100,300,406,10,500,0,0,0,700
270,38,0,326.34592796970384,100,300,404,10,500,0,0,0,700
271,38,0,326.34592796970384,100,300,403,10,500,0,0,0,700
272,38,0,326.34592796970384,100,300,405,10,500,0,0,0,700
273,38,0,326.34592796970384,100,300,404,10,500,0,0,0,700
274,38,0,326.34592796970384,100,300,403,10,500,0,0,0,700
275,38,0,326.34592796970384,100,300,404,10,500,0,0,0,700
276,38,0,326.34592796970384,100,300,403,10,500,0,0,0,700
277,38,0,326.34592796970384,100,300,405,10,500,0,0,0,700
278,38,0,326.34592796970384,100,300,406,10,500,0,0,0,700
279,38,0,326.34592796970384,100,300,407,10,500,0,0,0,700
280,38,0,326.34592796970384,100,300,408,10,500,0,0,0,700
281,38,0,326.34592796970384,100,300,408,10,500,0,0,0,700
282,38,0,326.34592796970384,100,300,406,10,500,0,0,0,700
283,38,0,326.34592796970384,100,300,404,10,500,0,0,0,700
284,38,0,326.34592796970384,100,300,405,10,500,0,0,0,700
285,38,0,326.34592796970384,100,300,406,10,500,0,0,0,700
286,38,0,326.34592796970384,100,300,405,10,500,0,0,0,700
287,38,0,326.34592796970384,100,300,405,10,500,0,0,0,700
288,38,0,326.34592796970384,100,300,404,10,500,0,0,0,700
289,38,0,326.34592796970384,100,300,404,10,500,0,0,0,700
290,38,0,326.34592796970384,100,300,403,10,500,0,0,0,700
291,38,0,326.34592796970384,100,300,405,10,500,0,0,0,700
292,38,0,326.34592796970384,100,300,407,10,500,0,0,0,700
293,38,0,326.34592796970384,100,300,404,10,500,0,0,0,700
294,38,0,326.34592796970384,100,300,403,10,500,0,0,0,700
295,38,0,326.34592796970384,100,300,405,10,500,0,0,0,700
296,38,0,326.34592796970384,100,300,408,10,500,0,0,0,700
297,38,0,326.34592796970384,100,300,406,10,500,0,0,0,700
298,38,0,326.34592796970384,100,300,406,10,500,0,0,0,700
299,38,0,326.34592796970384,100,300,405,10,500,0,0,0,700
300,38,0,326.34592796970384,100,300,404,10,500,0,0,0,700
301,38,0,326.34592796970384,100,300,402,10,500,0,0,0,700
302,38,0,326.34592796970384,100,300,404,10,500,0,0,0,700
303,38,0,326.34592796970384,100,300,404,10,500,0,0,0,700
304,38,0,326.34592796970384,100,300,403,10,500,0,0,0,700
305,38,0,326.34592796970384,100,300,404,10,500,0,0,0,700
306,38,0,326.34592796970384,100,300,403,10,500,0,0,0,700
307,38,0,326.34592796970384,100,300,404,10,500,0,0,0,700
308,38,0,326.34592796970384,100,300,402,10,500,0,0,0,700
309,38,0,326.34592796970384,100,300,404,10,500,0,0,0,700
310,38,0,326.34592796970384,100,300,404,10,500,0,0,0,700
311,38,0,326.34592796970384,100,300,403,10,500,0,0,0,700
312,38,0,326.34592796970384,100,300,401,10,500,0,0,0,700
313,38,0,326.34592796970384,100,300,402,10,500,0,0,0,700
314,38,0,326.34592796970384,100,300,403,10,500,0,0,0,700
315,38,0,326.34592796970384,100,300,403,10,500,0,0,0,700
316,38,0,326.34592796970384,100,300,404,10,500,0,0,0,700
317,38,0,326.34592796970384,100,300,403,10,500,0,0,0,700
318,38,0,326.34592796970384,100,300,402,10,500,0,0,0,700
319,38,0,326.34592796970384,100,300,403,10,500,0,0,0,700
320,38,0,326.34592796970384,100,300,402,10,500,0,0,0,700
321,38,0,326.34592796970384,100,300,403,10,500,0,0,0,700
322,38,0,326.34592796970384,100,300,400,10,500,0,0,0,700
323,38,0,326.34592796970384,100,300,400,10,500,0,0,0,700
324,38,0,326.34592796970384,100,300,399,10,500,0,0,0,700
325,38,0,326.34592796970384,100,300,400,10,500,0,0,0,700
326,38,0,326.34592796970384,100,300,401,10,500,0,0,0,700
327,38,0,326.34592796970384,100,300,403,10,500,0,0,0,700
328,38,0,326.34592796970384,100,300,404,10,500,0,0,0,700
329,38,0,326.34592796970384,100,300,403,10,500,0,0,0,700
330,38,0,326.34592796970384,100,300,404,10,500,0,0,0,700
331,38,0,326.34592796970384,100,300,403,10,500,0,0,0,700
332,38,0,326.34592796970384,100,300,401,10,500,0,0,0,700
333,38,0,326.34592796970384,100,300,402,10,500,0,0,0,700
334,38,0,326.34592796970384,100,300,403,10,500,0,0,0,700
335,38,0,326.34592796970384,100,300,403,10,500,0,0,0,700
336,38,0,326.34592796970384,100,300,402,10,500,0,0,0,700
337,38,0,326.34592796970384,100,300,402,10,500,0,0,0,700
338,38,0,326.34592796970384,100,300,401,10,500,0,0,0,700
339,38,0,326.34592796970384,100,300,401,10,500,0,0,0,700
340,38,0,326.34592796970384,100,300,401,10,500,0,0,0,700
341,38,0,326.34592796970384,100,300,401,10,500,0,0,0,700
342,38,0,326.34592796970384,100,300,402,10,500,0,0,0,700
343,38,0,326.34592796970384,100,300,402,10,500,0,0,0,700
344,38,0,326.34592796970384,100,300,403,10,500,0,0,0,700
345,38,0,326.34592796970384,100,300,404,10,500,0,0,0,700
346,38,0,326.34592796970384,100,300,404,10,500,0,0,0,700
347,38,0,326.34592796970384,100,300,405,10,500,0,0,0,700
348,38,0,326.34592796970384,100,300,405,10,500,0,0,0,700
349,38,0,326.34592796970384,100,300,407,10,500,0,0,0,700
350,38,0,326.34592796970384,100,300,407,10,500,0,0,0,700
351,38,0,326.34592796970384,100,300,406,10,500,0,0,0,700
352,38,0,326.34592796970384,100,300,404,10,500,0,0,0,700
353,38,0,326.34592796970384,100,300,405,10,500,0,0,0,700
354,38,0,326.34592796970384,100,300,405,10,500,0,0,0,700
355,38,0,326.34592796970384,100,300,405,10,500,0,0,0,700
356,38,0,326.34592796970384,100,300,405,10,500,0,0,0,700
357,38,0,326.34592796970384,100,300,402,10,500,0,0,0,700
358,38,0,326.34592796970384,100,300,404,10,500,0,0,0,700
359,38,0,326.34592796970384,100,300,402,11,500,0,0,0,700
360,38,0,326.34592796970384,100,300,403,12,500,0,0,0,700
361,38,0,326.34592796970384,100,300,401,13,500,0,0,0,700
362,38,0,326.34592796970384,100,300,402,14,500,0,0,0,700
363,38,0,326.34592796970384,100,300,401,15,500,0,0,0,700
364,38,0,326.34592796970384,100,300,401,16,500,0,0,0,700
365,38,0,326.34592796970384,100,300,402,17,500,0,0,0,700
366,38,0,326.34592796970384,100,300,404,18,500,0,0,0,700
367,38,0,326.34592796970384,100,300,403,19,500,0,0,0,700
368,38,0,326.34592796970384,100,300,404,20,500,0,0,0,700
369,38,0,326.34592796970384,100,300,405,21,500,0,0,0,700
370,38,0,326.34592796970384,100,300,404,22,500,0,0,0,700
371,38,0,326.34592796970384,100,300,406,23,500,0,0,0,700
372,38,0,326.34592796970384,100,300,406,24,500,0,0,0,700
373,38,0,326.34592796970384,100,300,407,25,500,0,0,0,700
374,38,0,326.34592796970384,100,300,407,26,500,0,0,0,700
375,38,0,326.34592796970384,100,300,407,27,500,0,0,0,700
376,38,0,326.34592796970384,100,300,407,28,500,0,0,0,700
377,38,0,326.34592796970384,100,300,408,29,500,0,0,0,700
378,38,0,326.34592796970384,100,300,408,30,500,0,0,0,700
379,38,0,326.34592796970384,100,300,408,31,500,0,0,0,700
380,38,0,326.34592796970384,100,300,406,32,500,0,0,0,700
381,38,0,326.34592796970384,100,300,404,33,500,0,0,0,700
382,38,0,326.34592796970384,100,300,404,34,500,0,0,0,700
383,38,0,326.34592796970384,100,300,403,35,500,0,0,0,700
384,38,0,326.34592796970384,100,300,403,36,500,0,0,0,700
385,38,0,326.34592796970384,100,300,402,37,500,0,0,0,700
386,38,0,326.34592796970384,100,300,402,38,500,0,0,0,700
387,38,0,326.34592796970384,100,300,403,39,500,0,0,0,700
388,38,0,326.34592796970384,100,300,401,40,500,0,0,0,700
389,38,0,326.34592796970384,100,300,402,41,500,0,0,0,700
390,38,0,326.34592796970384,100,300,403,42,500,0,0,0,700
391,38,0,326.34592796970384,100,300,402,43,500,0,0,0,700
392,38,0,326.34592796970384,100,300,403,44,500,0,0,0,700
393,38,0,326.34592796970384,100,300,405,45,500,0,0,0,700
394,38,0,326.34592796970384,100,300,404,46,500,0,0,0,700
395,38,0,326.34592796970384,100,300,403,47,500,0,0,0,700
396,38,0,326.34592796970384,100,300,402,48,500,0,0,0,700
397,38,0,326.34592796970384,100,300,403,49,500,0,0,0,700
398,38,0,326.34592796970384,100,300,404,50,500,0,0,0,700
399,38,0,326.34592796970384,100,300,405,49,500,2,0,0,700
400,38,0,326.34592796970384,100,300,404,50,500,2,0,0,700
401,38,0,326.34592796970384,100,300,403,49,500,4,0,0,700
402,38,0,326.34592796970384,100,300,404,50,500,4,0,0,700
403,38,0,326.34592796970384,100,300,403,51,500,4,0,0,700
404,38,0,326.34592796970384,100,300,403,50,500,6,0,0,700
405,38,0,326.34592796970384,100,300,403,48,500,9,0,0,700
406,38,0,326.34592796970384,100,300,402,49,500,9,0,0,700
407,38,0,326.34592796970384,100,300,402,50,500,9,0,0,700
408,38,0,326.34592796970384,100,300,402,49,500,11,0,0,700
409,38,0,326.34592796970384,100,300,402,50,500,11,0,0,700
410,38,0,326.34592796970384,100,300,402,48,500,14,0,0,700
411,38,0,326.34592796970384,100,300,402,49,500,14,0,0,700
412,38,0,326.34592796970384,100,300,402,50,500,14,0,0,700
413,38,0,326.34592796970384,100,300,401,47,500,18,0,0,700
414,38,0,326.34592796970384,100,300,401,48,500,18,0,0,700
415,38,0,326.34592796970384,100,300,402,49,500,18,0,0,700
416,38,0,326.34592796970384,100,300,401,50,500,18,0,0,700
417,38,0,326.34592796970384,100,300,404,49,500,20,0,0,700
418,38,0,326.34592796970384,100,300,403,50,500,20,0,0,700
419,38,0,326.34592796970384,100,300,404,46,500,25,0,0,700
420,38,0,326.34592796970384,100,300,404,47,500,25,0,0,700
421,38,0,326.34592796970384,100,300,402,48,500,25,0,0,700
422,38,0,326.34592796970384,100,300,402,49,500,25,0,0,700
423,38,0,326.34592796970384,100,300,403,50,500,25,0,0,700
424,38,0,326.34592796970384,100,300,402,49,500,27,0,0,700
425,38,0,326.34592796970384,100,300,403,50,500,27,0,0,700
426,38,0,326.34592796970384,100,300,402,46,500,32,0,0,700
427,38,0,326.34592796970384,100,300,402,47,500,32,0,0,700
428,38,0,326.34592796970384,100,300,402,48,500,32,0,0,700
429,38,0,326.34592796970384,100,300,402,49,500,32,0,0,700
430,38,0,326.34592796970384,100,300,404,50,500,32,0,0,700
431,38,0,326.34592796970384,100,300,403,48,500,35,0,0,700
432,38,0,326.34592796970384,100,300,403,49,500,35,0,0,700
433,38,0,326.34592796970384,100,300,403,50,500,35,0,0,700
434,38,0,326.34592796970384,100,300,402,46,500,40,0,0,700
435,38,0,326.34592796970384,100,300,402,47,500,40,0,0,700
436,38,0,326.34592796970384,100,300,402,48,500,40,0,0,700
437,38,0,326.34592796970384,100,300,401,49,500,40,0,0,700
438,38,0,326.34592796970384,100,300,401,50,500,40,0,0,700
